id,category_alias,category_title,restaurant_id,restaurant_name,restaurant_price,restaurant_review_count,restaurant_rating,restaurant_phone,restaurant_distance,restaurant_coordinates_latitude,restaurant_coordinates_longitude,restaurant_location_zip_code,restaurant_location_address1
0,german,German,8uBE9ZgfZOM2z_Rllw478Q,Stadtklause,€,172,4.5,+493051056381,2205.244050414826,52.504779,13.380618,10963,Bernburger Str. 35
1,modern_european,Modern European,6BCLgz8j6j2em7XLLsXoow,Lorenz Adlon Esszimmer,€€€€,67,5.0,+493022611960,969.3816096240975,52.516109,13.380014,10117,Unter den Linden 77
2,ramen,Ramen,jIddBhydYQEOECaa199Hag,Cocolo Ramen,€€,293,4.0,+493098339073,1612.2813770372095,52.52718,13.39934,10119,Gipsstr. 3
3,burgers,Burgers,yAhYpg2GGeEUV2Li7HOp8g,Momotaro Tavern,€€,57,4.5,+4915203708888,2315.5159976568266,52.521213,13.4096765920655,10178,Panoramastr. 1 A
4,asianfusion,Asian Fusion,yAhYpg2GGeEUV2Li7HOp8g,Momotaro Tavern,€€,57,4.5,+4915203708888,2315.5159976568266,52.521213,13.4096765920655,10178,Panoramastr. 1 A
5,arabian,Arabian,zoV7ywdHBys01E2ndtzZ3Q,Cana Restaurant,€€,49,4.5,+493024083280,2610.3392219279554,52.5122795127759,13.4088950945122,10179,Neue Roßstr. 11 - 12
6,breakfast_brunch,Breakfast & Brunch,Eobze0Xon9szj_2nj7BrUQ,FACTORY GIRL,€€,262,4.0,+493045950405,1588.9623906143374,52.527302,13.398852,10119,Auguststr. 29 C
7,cafes,Cafes,Eobze0Xon9szj_2nj7BrUQ,FACTORY GIRL,€€,262,4.0,+493045950405,1588.9623906143374,52.527302,13.398852,10119,Auguststr. 29 C
8,desserts,Desserts,Eobze0Xon9szj_2nj7BrUQ,FACTORY GIRL,€€,262,4.0,+493045950405,1588.9623906143374,52.527302,13.398852,10119,Auguststr. 29 C
9,indpak,Indian,1EQUHShNgesuKm-5LEfaeg,AmmAmma,€,138,4.5,+493074073516,4357.7835202157885,52.49198,13.41188,10967,Urbanstr. 28 a
10,dimsum,Dim Sum,yqX-QbXxw3BCoBgnaqrOqw,Lecker Song,€,77,4.5,+493026374447,3744.1480658188448,52.544112,13.420731,10437,Schliemannstr. 19
11,german,German,dXiRPNAnhCMOykD53SFsXQ,Aigner Gendarmenmarkt,€€€,120,4.0,+4930203751850,1477.6131229937992,52.5146991,13.3907825,10117,Französischestr. 25
12,austrian,Austrian,dXiRPNAnhCMOykD53SFsXQ,Aigner Gendarmenmarkt,€€€,120,4.0,+4930203751850,1477.6131229937992,52.5146991,13.3907825,10117,Französischestr. 25
13,tradamerican,American (Traditional),OACJ6kJYAorqcI0_FfeSZg,Southern Vittles,,10,4.5,+4915229420749,3268.3678423708984,52.54142,13.41526,10437,Lychener Str. 6
14,international,International,UzXq4QuasWnooTzHQlsMJg,Muse,€€,60,4.5,+493040056289,3352.0209794086654,52.53299,13.42322,10405,Immanuelkirchstr. 31
15,sandwiches,Sandwiches,UzXq4QuasWnooTzHQlsMJg,Muse,€€,60,4.5,+493040056289,3352.0209794086654,52.53299,13.42322,10405,Immanuelkirchstr. 31
16,burgers,Burgers,UzXq4QuasWnooTzHQlsMJg,Muse,€€,60,4.5,+493040056289,3352.0209794086654,52.53299,13.42322,10405,Immanuelkirchstr. 31
17,hotdogs,Fast Food,KP_8I0zN9s50fWWf-S6mgg,Burgermeister,€,715,4.0,+493023883840,5198.937930223258,52.5011,13.442463,10997,Oberbaumstr. 8
